sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
0,34.84.127.58,159.36803817749023,283.433198928833,124.06516075134277,PROXY
1,34.84.127.58,159.3458652496338,286.35501861572266,127.00915336608887,PROXY
2,34.84.127.58,158.19811820983887,278.69701385498047,120.4988956451416,PROXY
3,34.84.127.58,156.32915496826172,277.7261734008789,121.39701843261719,PROXY
4,34.84.127.58,156.6159725189209,358.3359718322754,201.7199993133545,PROXY
5,34.84.127.58,157.80401229858398,273.9689350128174,116.1649227142334,PROXY
6,34.84.127.58,155.38501739501953,279.33192253112793,123.9469051361084,PROXY
7,34.84.127.58,156.41403198242188,278.14507484436035,121.73104286193848,PROXY
8,34.84.127.58,157.16314315795898,275.6819725036621,118.51882934570312,PROXY
9,34.84.127.58,157.13882446289062,279.3087959289551,122.16997146606445,PROXY
10,34.84.127.58,157.83190727233887,280.3618907928467,122.52998352050781,PROXY
11,34.84.127.58,157.2561264038086,279.96206283569336,122.70593643188477,PROXY
12,34.84.127.58,157.41991996765137,276.14307403564453,118.72315406799316,PROXY
13,34.84.127.58,157.1369171142578,366.9569492340088,209.82003211975098,PROXY
14,34.84.127.58,159.48104858398438,277.73499488830566,118.25394630432129,PROXY
15,34.84.127.58,158.23006629943848,280.60388565063477,122.37381935119629,PROXY
16,34.84.127.58,157.6528549194336,279.1628837585449,121.51002883911133,PROXY
17,34.84.127.58,156.9368839263916,273.9241123199463,116.98722839355469,PROXY
18,34.84.127.58,158.095121383667,277.07386016845703,118.97873878479004,PROXY
19,34.84.127.58,156.6011905670166,279.8731327056885,123.27194213867188,PROXY
20,34.84.127.58,157.08303451538086,361.9201183319092,204.83708381652832,PROXY
21,34.84.127.58,154.92796897888184,367.8419589996338,212.91399002075195,PROXY
22,34.84.127.58,155.95102310180664,365.6041622161865,209.65313911437988,PROXY
23,34.84.127.58,157.2880744934082,305.36603927612305,148.07796478271484,PROXY
24,34.84.127.58,158.54811668395996,277.4219512939453,118.87383460998535,PROXY
25,34.84.127.58,155.89594841003418,286.50712966918945,130.61118125915527,PROXY
26,34.84.127.58,156.4040184020996,282.32812881469727,125.92411041259766,PROXY
27,34.84.127.58,159.32607650756836,283.75983238220215,124.43375587463379,PROXY
28,34.84.127.58,157.21607208251953,300.83513259887695,143.61906051635742,PROXY
29,34.84.127.58,159.12699699401855,281.0389995574951,121.91200256347656,PROXY
30,34.84.127.58,160.7959270477295,287.5189781188965,126.72305107116699,PROXY
31,34.84.127.58,158.0038070678711,285.858154296875,127.8543472290039,PROXY
