sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
0,34.84.127.58,158.6592197418213,349.3680953979492,190.70887565612793,PROXY
1,34.84.127.58,156.55088424682617,287.2169017791748,130.66601753234863,PROXY
2,34.84.127.58,158.2341194152832,282.04798698425293,123.81386756896973,PROXY
3,34.84.127.58,158.28180313110352,280.0750732421875,121.79327011108398,PROXY
4,34.84.127.58,156.60405158996582,276.4151096343994,119.8110580444336,PROXY
5,34.84.127.58,157.120943069458,279.27398681640625,122.15304374694824,PROXY
6,34.84.127.58,157.13095664978027,290.81201553344727,133.681058883667,PROXY
7,34.84.127.58,158.66613388061523,281.7850112915039,123.11887741088867,PROXY
8,34.84.127.58,158.4188938140869,276.1399745941162,117.7210807800293,PROXY
9,34.84.127.58,156.67414665222168,358.9479923248291,202.27384567260742,PROXY
10,34.84.127.58,157.16910362243652,278.26809883117676,121.09899520874023,PROXY
11,34.84.127.58,157.55915641784668,281.65197372436523,124.09281730651855,PROXY
12,34.84.127.58,155.86495399475098,274.1670608520508,118.3021068572998,PROXY
13,34.84.127.58,156.8760871887207,278.6672115325928,121.79112434387207,PROXY
14,34.84.127.58,158.45084190368652,278.37610244750977,119.92526054382324,PROXY
15,34.84.127.58,157.04989433288574,276.0500907897949,119.00019645690918,PROXY
16,34.84.127.58,156.94379806518555,277.65798568725586,120.71418762207031,PROXY
17,34.84.127.58,156.26001358032227,280.43317794799805,124.17316436767578,PROXY
18,34.84.127.58,158.33091735839844,282.0780277252197,123.74711036682129,PROXY
19,34.84.127.58,157.3050022125244,335.8430862426758,178.53808403015137,PROXY
20,34.84.127.58,156.9681167602539,276.98397636413574,120.01585960388184,PROXY
21,34.84.127.58,157.79900550842285,283.9360237121582,126.13701820373535,PROXY
22,34.84.127.58,155.350923538208,276.0300636291504,120.67914009094238,PROXY
23,34.84.127.58,155.93981742858887,277.38404273986816,121.4442253112793,PROXY
24,34.84.127.58,158.1590175628662,310.6880187988281,152.5290012359619,PROXY
25,34.84.127.58,156.10003471374512,312.8950595855713,156.79502487182617,PROXY
26,34.84.127.58,158.09202194213867,307.9700469970703,149.87802505493164,PROXY
27,34.84.127.58,157.19890594482422,309.5128536224365,152.3139476776123,PROXY
28,34.84.127.58,157.01889991760254,279.25992012023926,122.24102020263672,PROXY
29,34.84.127.58,157.5930118560791,273.6368179321289,116.0438060760498,PROXY
30,34.84.127.58,154.81209754943848,273.41198921203613,118.59989166259766,PROXY
31,34.84.127.58,156.62598609924316,273.8630771636963,117.23709106445312,PROXY
32,34.84.127.58,155.96604347229004,275.0680446624756,119.10200119018555,PROXY
33,34.84.127.58,157.0260524749756,275.38084983825684,118.35479736328125,PROXY
34,34.84.127.58,158.71000289916992,279.83713150024414,121.12712860107422,PROXY
35,34.84.127.58,157.78183937072754,273.58412742614746,115.80228805541992,PROXY
36,34.84.127.58,159.3790054321289,277.4510383605957,118.0720329284668,PROXY
37,34.84.127.58,157.79995918273926,278.7778377532959,120.97787857055664,PROXY
38,34.84.127.58,159.3308448791504,280.3487777709961,121.0179328918457,PROXY
39,34.84.127.58,157.72390365600586,276.96800231933594,119.24409866333008,PROXY
40,34.84.127.58,155.9760570526123,274.3828296661377,118.40677261352539,PROXY
41,34.84.127.58,159.53803062438965,276.4899730682373,116.95194244384766,PROXY
42,34.84.127.58,154.62899208068848,276.6458988189697,122.01690673828125,PROXY
43,34.84.127.58,156.22210502624512,274.98912811279297,118.76702308654785,PROXY
44,34.84.127.58,156.26788139343262,271.30985260009766,115.04197120666504,PROXY
45,34.84.127.58,158.71500968933105,276.9660949707031,118.25108528137207,PROXY
46,34.84.127.58,155.63392639160156,274.4250297546387,118.79110336303711,PROXY
47,34.84.127.58,158.08582305908203,277.5747776031494,119.48895454406738,PROXY
48,34.84.127.58,157.26399421691895,280.20381927490234,122.9398250579834,PROXY
49,34.84.127.58,154.82378005981445,279.2818546295166,124.45807456970215,PROXY
50,34.84.127.58,155.4570198059082,274.4870185852051,119.02999877929688,PROXY
51,34.84.127.58,156.94212913513184,275.49004554748535,118.54791641235352,PROXY
52,34.84.127.58,157.29689598083496,275.5880355834961,118.29113960266113,PROXY
53,34.84.127.58,156.9979190826416,275.1181125640869,118.12019348144531,PROXY
54,34.84.127.58,157.2740077972412,273.9300727844238,116.65606498718262,PROXY
55,34.84.127.58,157.3030948638916,277.88400650024414,120.58091163635254,PROXY
56,34.84.127.58,157.135009765625,276.0889530181885,118.95394325256348,PROXY
57,34.84.127.58,158.26010704040527,278.05089950561523,119.79079246520996,PROXY
58,34.84.127.58,157.27901458740234,279.1600227355957,121.88100814819336,PROXY
59,34.84.127.58,156.68296813964844,276.62014961242676,119.93718147277832,PROXY
60,34.84.127.58,154.9520492553711,276.5347957611084,121.5827465057373,PROXY
61,34.84.127.58,154.71196174621582,275.6209373474121,120.90897560119629,PROXY
62,34.84.127.58,158.22601318359375,277.3921489715576,119.16613578796387,PROXY
63,34.84.127.58,154.59799766540527,273.8330364227295,119.23503875732422,PROXY
64,34.84.127.58,155.8539867401123,314.9371147155762,159.08312797546387,PROXY
65,34.84.127.58,157.4230194091797,324.08714294433594,166.66412353515625,PROXY
66,34.84.127.58,156.8307876586914,324.7790336608887,167.94824600219727,PROXY
67,34.84.127.58,157.23705291748047,325.9999752044678,168.7629222869873,PROXY
68,34.84.127.58,157.3350429534912,321.08187675476074,163.74683380126953,PROXY
69,34.84.127.58,157.69100189208984,272.5851535797119,114.89415168762207,PROXY
70,34.84.127.58,156.41403198242188,682.4328899383545,526.0188579559326,PROXY
71,34.84.127.58,157.01603889465332,682.6479434967041,525.6319046020508,PROXY
72,34.84.127.58,155.97891807556152,683.5131645202637,527.5342464447021,PROXY
