sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
0,34.84.127.58,161.09204292297363,333.83989334106445,172.74785041809082,PROXY
1,34.84.127.58,162.8870964050293,332.88002014160156,169.99292373657227,PROXY
2,34.84.127.58,160.1390838623047,335.88504791259766,175.74596405029297,PROXY
3,34.84.127.58,159.76786613464355,306.03599548339844,146.26812934875488,PROXY
4,34.84.127.58,160.24184226989746,315.47999382019043,155.23815155029297,PROXY
5,34.84.127.58,160.72702407836914,284.35397148132324,123.6269474029541,PROXY
6,34.84.127.58,160.71391105651855,284.3599319458008,123.64602088928223,PROXY
7,34.84.127.58,159.35397148132324,278.9649963378906,119.61102485656738,PROXY
8,34.84.127.58,159.21401977539062,277.0531177520752,117.83909797668457,PROXY
9,34.84.127.58,159.09600257873535,276.45397186279297,117.35796928405762,PROXY
10,34.84.127.58,161.48710250854492,279.73103523254395,118.24393272399902,PROXY
11,34.84.127.58,159.8069667816162,280.12895584106445,120.32198905944824,PROXY
12,34.84.127.58,161.4360809326172,280.37309646606445,118.93701553344727,PROXY
13,34.84.127.58,160.05706787109375,278.1341075897217,118.07703971862793,PROXY
14,34.84.127.58,161.69404983520508,363.85393142700195,202.15988159179688,PROXY
15,34.84.127.58,156.68416023254395,271.0859775543213,114.40181732177734,PROXY
16,34.84.127.58,160.9349250793457,361.1788749694824,200.24394989013672,PROXY
17,34.84.127.58,160.91394424438477,354.5880317687988,193.67408752441406,PROXY
18,34.84.127.58,159.12389755249023,351.6559600830078,192.53206253051758,PROXY
19,34.84.127.58,160.25805473327637,280.49302101135254,120.23496627807617,PROXY
20,34.84.127.58,159.35897827148438,281.53300285339355,122.17402458190918,PROXY
21,34.84.127.58,160.599946975708,279.573917388916,118.97397041320801,PROXY
22,34.84.127.58,160.58897972106934,281.7420959472656,121.15311622619629,PROXY
23,34.84.127.58,160.92920303344727,281.818151473999,120.88894844055176,PROXY
24,34.84.127.58,160.83788871765137,332.6239585876465,171.78606986999512,PROXY
25,34.84.127.58,159.9140167236328,337.4779224395752,177.56390571594238,PROXY
26,34.84.127.58,160.16006469726562,335.9179496765137,175.75788497924805,PROXY
27,34.84.127.58,160.2308750152588,337.04686164855957,176.81598663330078,PROXY
28,34.84.127.58,158.82492065429688,338.33980560302734,179.51488494873047,PROXY
29,34.84.127.58,157.98091888427734,282.61494636535645,124.6340274810791,PROXY
30,34.84.127.58,157.51385688781738,289.87812995910645,132.36427307128906,PROXY
31,34.84.127.58,159.69491004943848,282.8810214996338,123.18611145019531,PROXY
32,34.84.127.58,158.8420867919922,282.243013381958,123.40092658996582,PROXY
33,34.84.127.58,158.7240695953369,279.8421382904053,121.11806869506836,PROXY
34,34.84.127.58,160.38107872009277,278.8209915161133,118.43991279602051,PROXY
35,34.84.127.58,157.00721740722656,306.18906021118164,149.18184280395508,PROXY
36,34.84.127.58,161.35311126708984,308.48193168640137,147.12882041931152,PROXY
37,34.84.127.58,157.3331356048584,311.3710880279541,154.0379524230957,PROXY
38,34.84.127.58,160.0170135498047,311.1269474029541,151.1099338531494,PROXY
39,34.84.127.58,160.30097007751465,306.5829277038574,146.28195762634277,PROXY
40,34.84.127.58,159.9869728088379,292.45495796203613,132.46798515319824,PROXY
41,34.84.127.58,158.9670181274414,293.26391220092773,134.29689407348633,PROXY
42,34.84.127.58,159.78407859802246,287.2190475463867,127.43496894836426,PROXY
43,34.84.127.58,157.14287757873535,294.0330505371094,136.89017295837402,PROXY
44,34.84.127.58,161.29803657531738,281.2919616699219,119.99392509460449,PROXY
45,34.84.127.58,162.39690780639648,410.7708930969238,248.37398529052734,PROXY
46,34.84.127.58,159.5749855041504,410.85314750671387,251.27816200256348,PROXY
